time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
126,0,2,0,0,0,0,R2,fe,0,8,0
127,0,2,0,0,0,0,R2,fe,0,8,0
128,0,2,0,0,0,0,R2,fe,0,8,0
129,0,2,0,0,0,0,R2,fe,0,8,0
130,0,2,0,0,0,0,R2,fe,0,8,0
131,0,2,0,0,0,0,R2,fe,0,8,0
132,0,2,0,0,0,0,R2,fe,0,8,0
133,0,2,0,0,0,0,R2,fe,0,8,0
134,0,2,0,0,0,0,R2,fe,0,8,0
135,0,2,0,0,0,0,R2,fe,0,8,0
136,0,2,0,0,0,0,R2,fe,0,8,0
137,0,2,0,0,0,0,R2,fe,0,8,0
138,0,2,0,0,0,0,R2,fe,0,8,0
139,0,2,0,0,0,0,R2,fe,0,8,0
140,0,2,0,0,0,0,R2,fe,0,8,0
141,0,2,0,0,0,0,R2,fe,0,8,0
142,0,2,0,0,0,0,R2,fe,0,8,0
143,0,2,0,0,0,0,R2,fe,0,8,0
144,0,2,0,0,0,0,R2,fe,0,8,0
145,0,2,0,0,0,0,R2,fe,0,8,0
146,0,2,0,0,0,0,R2,fe,0,8,0
147,0,2,0,0,0,0,R2,fe,0,8,0
148,0,2,0,0,0,0,R2,fe,0,8,0
149,0,2,0,0,0,0,R2,fe,0,8,0
150,0,2,0,0,0,0,R2,fe,0,8,0
151,0,0,0,2,0,0,R4,fe,0,8,0
152,0,0,0,2,0,0,R4,fe,0,8,0
153,0,0,0,2,0,0,R4,fe,0,8,0
154,0,0,0,2,0,0,R4,fe,0,8,0
155,0,0,0,2,0,0,R4,fe,0,8,0
156,0,0,0,2,0,0,R4,fe,0,8,0
157,0,0,0,2,0,0,R4,fe,0,8,0
158,0,0,0,2,0,0,R4,fe,0,8,0
159,0,0,0,2,0,0,R4,fe,0,8,0
160,0,0,0,2,0,0,R4,fe,0,8,0
161,0,0,0,2,0,0,R4,fe,0,8,0
162,0,0,0,2,0,0,R4,fe,0,8,0
163,0,0,0,2,0,0,R4,fe,0,8,0
164,0,0,0,2,0,0,R4,fe,0,8,0
165,0,0,0,2,0,0,R4,fe,0,8,0
166,0,0,0,2,0,0,R4,fe,0,8,0
167,0,0,0,2,0,0,R4,fe,0,8,0
168,0,0,0,2,0,0,R4,fe,0,8,0
169,0,0,0,2,0,0,R4,fe,0,8,0
170,0,0,0,2,0,0,R4,fe,0,8,0
171,0,0,0,2,0,0,R4,fe,0,8,0
172,0,0,0,2,0,0,R4,fe,0,8,0
173,0,0,0,2,0,0,R4,fe,0,8,0
174,0,0,0,2,0,0,R4,fe,0,8,0
175,0,0,0,2,0,0,R4,fe,0,8,0
176,0,0,0,0,2,0,R5,fe,0,12,0
177,0,0,0,0,2,0,R5,fe,0,12,0
178,0,0,0,0,2,0,R5,fe,0,12,0
179,0,0,0,0,2,0,R5,fe,0,12,0
180,0,0,0,0,2,0,R5,fe,0,12,0
181,0,0,0,0,2,0,R5,fe,0,12,0
182,0,0,0,0,2,0,R5,fe,0,12,0
183,0,0,0,0,2,0,R5,fe,0,12,0
