2020-06-25 15:42:19.846 {"radius": 3, "center": [27.243994376808708, -9.516968794294192]}
2020-06-25 15:42:20.935 {"radius": 3, "center": [27.263003454365194, -9.254208524330453]}
2020-06-25 15:42:21.952 {"radius": 3, "center": [27.26846257270042, -9.041571760289642]}
2020-06-25 15:42:22.957 {"radius": 3, "center": [27.286348425182208, -8.779536645851985]}
2020-06-25 15:42:23.964 {"radius": 3, "center": [27.31683122815809, -8.485999528903644]}
2020-06-25 15:42:24.984 {"radius": 3, "center": [27.343722983174573, -8.215084072370312]}
2020-06-25 15:42:25.911 {"radius": 3, "center": [27.368495295573183, -7.979351078221605]}
2020-06-25 15:42:26.848 {"radius": 3, "center": [27.39036506091087, -7.73247170577262]}
2020-06-25 15:42:27.766 {"radius": 3, "center": [27.416396486902112, -7.524343668636568]}
2020-06-25 15:42:28.746 {"radius": 3, "center": [27.42567367296126, -7.304368935433644]}
2020-06-25 15:42:29.648 {"radius": 3, "center": [27.450817063056174, -7.064569333265512]}
2020-06-25 15:42:30.652 {"radius": 3, "center": [27.490309886442386, -6.84233089740926]}
2020-06-25 15:42:31.511 {"radius": 3, "center": [27.542630036457997, -6.646346577175935]}
2020-06-25 15:42:32.515 {"radius": 3, "center": [27.587406690454163, -6.45711628413337]}
2020-06-25 15:42:33.365 {"radius": 3, "center": [27.618049957153538, -6.252330024443958]}
2020-06-25 15:42:34.299 {"radius": 3, "center": [27.608088688677654, -6.035177722292546]}
2020-06-25 15:42:35.241 {"radius": 3, "center": [27.564118562420422, -5.821786918917861]}
2020-06-25 15:42:35.955 {"radius": 3, "center": [27.479663601294373, -5.6729235297479725]}
2020-06-25 15:42:36.913 {"radius": 3, "center": [27.312706250250496, -5.490399686064805]}
2020-06-25 15:42:37.881 {"radius": 3, "center": [27.08225640242463, -5.310168884603867]}
2020-06-25 15:42:38.887 {"radius": 3, "center": [26.834510455195918, -5.14702786819273]}
2020-06-25 15:42:39.894 {"radius": 3, "center": [26.573847896166505, -5.005312694816446]}
2020-06-25 15:42:40.832 {"radius": 3, "center": [26.316024867743863, -4.876474885347724]}
2020-06-25 15:42:41.840 {"radius": 3, "center": [26.061925783698594, -4.7380268812019795]}
2020-06-25 15:42:42.848 {"radius": 3, "center": [25.80557796834777, -4.581494608514004]}
2020-06-25 15:42:43.853 {"radius": 3, "center": [25.561566006058047, -4.412515001390663]}
2020-06-25 15:42:44.865 {"radius": 3, "center": [25.31019763626365, -4.2527106207186645]}
2020-06-25 15:42:45.952 {"radius": 3, "center": [25.039509776849133, -4.073522711107196]}
2020-06-25 15:42:47.028 {"radius": 3, "center": [24.79240709639172, -3.8704534446803143]}
2020-06-25 15:42:48.123 {"radius": 3, "center": [24.55189518476924, -3.6714212850378423]}
2020-06-25 15:42:49.203 {"radius": 3, "center": [24.336744593754375, -3.4529795293789527]}
2020-06-25 15:42:50.296 {"radius": 3, "center": [24.10152633014037, -3.248927089289468]}
2020-06-25 15:42:51.374 {"radius": 3, "center": [23.861626448837306, -3.0444436791853726]}
2020-06-25 15:42:52.462 {"radius": 3, "center": [23.624625048266257, -2.8480295245230267]}
2020-06-25 15:42:53.475 {"radius": 3, "center": [23.391331883275203, -2.657605164914868]}
2020-06-25 15:42:54.476 {"radius": 3, "center": [23.152420069381883, -2.4973960349834488]}
2020-06-25 15:42:55.257 {"radius": 3, "center": [22.951867209535198, -2.42740693798411]}
2020-06-25 15:42:56.109 {"radius": 3, "center": [22.722236702305615, -2.360192844553554]}
2020-06-25 15:42:56.966 {"radius": 3, "center": [22.484959624169985, -2.3022958638632476]}
2020-06-25 15:42:57.809 {"radius": 3, "center": [22.243397163724666, -2.2804387016134613]}
2020-06-25 15:42:58.889 {"radius": 3, "center": [21.97716036439139, -2.2777663242679314]}
2020-06-25 15:42:59.775 {"radius": 3, "center": [21.707452480150657, -2.279029695669153]}
2020-06-25 15:43:00.686 {"radius": 3, "center": [21.430978636215514, -2.2801032921226883]}
2020-06-25 15:43:01.616 {"radius": 3, "center": [21.15538327033027, -2.277028647807419]}
2020-06-25 15:43:02.543 {"radius": 3, "center": [20.886765989234163, -2.2757981949555672]}
2020-06-25 15:43:03.399 {"radius": 3, "center": [20.645324322463814, -2.2376114721516447]}
