2020-06-25 16:45:32.149 {"radius": 3, "center": [27.098883758726036, -10.322250130612272]}
2020-06-25 16:45:33.044 {"radius": 3, "center": [27.139821580818726, -10.075226977659787]}
2020-06-25 16:45:34.078 {"radius": 3, "center": [27.180522556761588, -9.829179361679639]}
2020-06-25 16:45:34.897 {"radius": 3, "center": [27.214502409051377, -9.555170049302067]}
2020-06-25 16:45:35.783 {"radius": 3, "center": [27.24647128793022, -9.293755342844157]}
2020-06-25 16:45:36.618 {"radius": 3, "center": [27.275658527849895, -9.043554364961121]}
2020-06-25 16:45:37.531 {"radius": 3, "center": [27.302152744977874, -8.77036631210108]}
2020-06-25 16:45:38.439 {"radius": 3, "center": [27.330917949186432, -8.497407899897121]}
2020-06-25 16:45:39.364 {"radius": 3, "center": [27.358026614712646, -8.221050678748108]}
2020-06-25 16:45:40.277 {"radius": 3, "center": [27.387255112448443, -7.941665662917468]}
2020-06-25 16:45:41.195 {"radius": 3, "center": [27.411337500867262, -7.666277898674422]}
2020-06-25 16:45:42.108 {"radius": 3, "center": [27.43545550877514, -7.404808598798361]}
2020-06-25 16:45:43.019 {"radius": 3, "center": [27.45757606393424, -7.128235556401079]}
2020-06-25 16:45:43.932 {"radius": 3, "center": [27.48707458272474, -6.8565264613369035]}
2020-06-25 16:45:44.770 {"radius": 3, "center": [27.531282951092887, -6.598751533743494]}
2020-06-25 16:45:45.626 {"radius": 3, "center": [27.57288097227481, -6.32808424158661]}
2020-06-25 16:45:46.526 {"radius": 3, "center": [27.604567007417764, -6.036371141074983]}
2020-06-25 16:45:47.128 {"radius": 3, "center": [27.580869966470445, -5.8335173480890115]}
2020-06-25 16:45:47.583 {"radius": 3, "center": [27.54053524742629, -5.690340377975771]}
2020-06-25 16:45:48.122 {"radius": 3, "center": [27.476867201001625, -5.522785345017853]}
2020-06-25 16:45:48.727 {"radius": 3, "center": [27.36128782731752, -5.373919908180341]}
2020-06-25 16:45:49.568 {"radius": 3, "center": [27.159758981204398, -5.217263372677046]}
2020-06-25 16:45:50.484 {"radius": 3, "center": [26.918176572899934, -5.084313840776118]}
2020-06-25 16:45:51.391 {"radius": 3, "center": [26.67212698499669, -4.9507386586743625]}
2020-06-25 16:45:52.307 {"radius": 3, "center": [26.430350318093723, -4.8228926365755855]}
2020-06-25 16:45:53.219 {"radius": 3, "center": [26.187114928821373, -4.693919987865571]}
2020-06-25 16:45:54.130 {"radius": 3, "center": [25.955250358633855, -4.549927778564694]}
2020-06-25 16:45:55.115 {"radius": 3, "center": [25.71380838768448, -4.399913710226278]}
2020-06-25 16:45:56.028 {"radius": 3, "center": [25.482881396194202, -4.261333806872232]}
2020-06-25 16:45:57.018 {"radius": 3, "center": [25.2398918446664, -4.1104395135790055]}
2020-06-25 16:45:58.003 {"radius": 3, "center": [24.99941938833238, -3.9454091801966613]}
2020-06-25 16:45:58.995 {"radius": 3, "center": [24.769293112041662, -3.7786034742576398]}
2020-06-25 16:46:00.091 {"radius": 3, "center": [24.539743644438346, -3.6108463680571403]}
2020-06-25 16:46:00.970 {"radius": 3, "center": [24.315530670341378, -3.4424040724261453]}
2020-06-25 16:46:01.953 {"radius": 3, "center": [24.085459979315832, -3.267441991012159]}
2020-06-25 16:46:03.059 {"radius": 3, "center": [23.855728257858726, -3.094503505971864]}
2020-06-25 16:46:03.930 {"radius": 3, "center": [23.622192329197116, -2.911927250056398]}
2020-06-25 16:46:04.997 {"radius": 3, "center": [23.376046907422623, -2.7323171885612227]}
2020-06-25 16:46:05.978 {"radius": 3, "center": [23.12721200545426, -2.5789572683864153]}
2020-06-25 16:46:07.111 {"radius": 3, "center": [22.885125798693906, -2.4459338995443125]}
2020-06-25 16:46:08.032 {"radius": 3, "center": [22.623039872848178, -2.371631220579375]}
2020-06-25 16:46:08.938 {"radius": 3, "center": [22.37260361047178, -2.3105372075290775]}
2020-06-25 16:46:09.843 {"radius": 3, "center": [22.09865215710825, -2.297001537988881]}
2020-06-25 16:46:10.763 {"radius": 3, "center": [21.826899672499746, -2.2928598795105906]}
2020-06-25 16:46:11.674 {"radius": 3, "center": [21.55284385050955, -2.2920926323157094]}
2020-06-25 16:46:12.581 {"radius": 3, "center": [21.28204505050182, -2.291682445123837]}
2020-06-25 16:46:13.274 {"radius": 3, "center": [21.08698086248317, -2.268965759145398]}
2020-06-25 16:46:14.258 {"radius": 3, "center": [20.839068203275193, -2.198692386821419]}
2020-06-25 16:46:15.169 {"radius": 3, "center": [20.57251309708686, -2.1674461153847178]}
2020-06-25 16:46:16.082 {"radius": 3, "center": [20.302787008178786, -2.1507874615884606]}
2020-06-25 16:46:16.986 {"radius": 3, "center": [20.026769935318754, -2.1298836626540054]}
2020-06-25 16:46:17.895 {"radius": 3, "center": [19.766917162027326, -2.123157382508468]}
2020-06-25 16:46:18.818 {"radius": 3, "center": [19.49292890306346, -2.096419850466148]}
2020-06-25 16:46:19.721 {"radius": 3, "center": [19.23195609480463, -2.032050101533288]}
2020-06-25 16:46:20.635 {"radius": 3, "center": [18.983277476675337, -1.9551684702220669]}
2020-06-25 16:46:21.544 {"radius": 3, "center": [18.72412022221361, -1.908286052263227]}
2020-06-25 16:46:22.460 {"radius": 3, "center": [18.45546950174336, -1.8751447051870707]}
2020-06-25 16:46:23.370 {"radius": 3, "center": [18.20968886899246, -1.8664081318416827]}
2020-06-25 16:46:24.364 {"radius": 3, "center": [17.94867017964082, -1.8739205723370014]}
2020-06-25 16:46:25.211 {"radius": 3, "center": [17.68845217178124, -1.8807774633774343]}
2020-06-25 16:46:26.185 {"radius": 3, "center": [17.43412423471159, -1.8760510911764585]}
2020-06-25 16:46:27.098 {"radius": 3, "center": [17.162318408928158, -1.8855195429645828]}
2020-06-25 16:46:28.011 {"radius": 3, "center": [16.914984788851672, -1.8626872505418262]}
2020-06-25 16:46:28.912 {"radius": 3, "center": [16.654133472763796, -1.7952796815792618]}
2020-06-25 16:46:29.829 {"radius": 3, "center": [16.404534624689486, -1.7272635561885237]}
2020-06-25 16:46:30.740 {"radius": 3, "center": [16.161403002596398, -1.6510260430372785]}
2020-06-25 16:46:31.648 {"radius": 3, "center": [15.908794748396065, -1.6032477094024065]}
2020-06-25 16:46:32.560 {"radius": 3, "center": [15.659949170781335, -1.5836979588238453]}
2020-06-25 16:46:33.472 {"radius": 3, "center": [15.397734319728793, -1.5496768514201549]}
2020-06-25 16:46:34.379 {"radius": 3, "center": [15.145741433202328, -1.499699942499683]}
2020-06-25 16:46:35.286 {"radius": 3, "center": [14.891074123598221, -1.4630253721425037]}
2020-06-25 16:46:36.199 {"radius": 3, "center": [14.638609020223775, -1.4505610206851165]}
2020-06-25 16:46:37.116 {"radius": 3, "center": [14.360276861146874, -1.4359578986785282]}
2020-06-25 16:46:38.020 {"radius": 3, "center": [14.087899043308846, -1.4272049528246185]}
2020-06-25 16:46:38.929 {"radius": 3, "center": [13.818942885066125, -1.4091311907913109]}
2020-06-25 16:46:39.845 {"radius": 3, "center": [13.544712381482203, -1.3872641846950229]}
2020-06-25 16:46:40.754 {"radius": 3, "center": [13.268268641073648, -1.3255254656256468]}
2020-06-25 16:46:41.661 {"radius": 3, "center": [13.002107071250286, -1.2745674198059447]}
2020-06-25 16:46:42.569 {"radius": 3, "center": [12.734157955539315, -1.2450704013260248]}
2020-06-25 16:46:43.483 {"radius": 3, "center": [12.470035385702062, -1.2188053326563801]}
2020-06-25 16:46:44.395 {"radius": 3, "center": [12.199506706443648, -1.1947228788017892]}
2020-06-25 16:46:45.307 {"radius": 3, "center": [11.934381296635744, -1.1830080554221085]}
2020-06-25 16:46:46.270 {"radius": 3, "center": [11.672030305227757, -1.1773915258064327]}
2020-06-25 16:46:47.297 {"radius": 3, "center": [11.418015949327772, -1.1619977011635843]}
2020-06-25 16:46:48.187 {"radius": 3, "center": [11.163035400857865, -1.0903332996829758]}
