2020-06-25 13:05:10.554 {"radius": 3, "center": [27.171088284551015, -10.01263215836276]}
2020-06-25 13:05:11.608 {"radius": 3, "center": [27.176184802933303, -9.786576072796967]}
2020-06-25 13:05:12.593 {"radius": 3, "center": [27.20994769546316, -9.563351722209658]}
2020-06-25 13:05:13.569 {"radius": 3, "center": [27.247742734377137, -9.292614308935873]}
2020-06-25 13:05:14.548 {"radius": 3, "center": [27.273072336475238, -9.060301338947868]}
2020-06-25 13:05:15.526 {"radius": 3, "center": [27.299217282804367, -8.790170342670596]}
2020-06-25 13:05:16.510 {"radius": 3, "center": [27.326399009763115, -8.558864686256513]}
2020-06-25 13:05:17.413 {"radius": 3, "center": [27.358613746878365, -8.332714371195097]}
2020-06-25 13:05:18.319 {"radius": 3, "center": [27.382117553896492, -8.144383572410227]}
2020-06-25 13:05:19.225 {"radius": 3, "center": [27.40379452114709, -7.918854848883964]}
2020-06-25 13:05:20.209 {"radius": 3, "center": [27.422961123516938, -7.695461631692577]}
2020-06-25 13:05:21.107 {"radius": 3, "center": [27.440209920583357, -7.50447063271577]}
2020-06-25 13:05:22.022 {"radius": 3, "center": [27.46239773312492, -7.262780423876534]}
2020-06-25 13:05:22.918 {"radius": 3, "center": [27.479865327252142, -7.02469956699476]}
2020-06-25 13:05:23.828 {"radius": 3, "center": [27.51055403815933, -6.7906339483862785]}
2020-06-25 13:05:24.740 {"radius": 3, "center": [27.537819088216335, -6.555671221805649]}
2020-06-25 13:05:25.633 {"radius": 3, "center": [27.563705653572455, -6.298092724628141]}
2020-06-25 13:05:26.565 {"radius": 3, "center": [27.57726545054126, -6.042055330100122]}
2020-06-25 13:05:27.235 {"radius": 3, "center": [27.54380420055385, -5.853406563856943]}
2020-06-25 13:05:27.910 {"radius": 3, "center": [27.480550398112076, -5.681583287349718]}
2020-06-25 13:05:28.592 {"radius": 3, "center": [27.37588167121991, -5.517331902376625]}
2020-06-25 13:05:29.567 {"radius": 3, "center": [27.170142927303328, -5.328377663187262]}
2020-06-25 13:05:30.629 {"radius": 3, "center": [26.91454991119197, -5.1539674286701995]}
2020-06-25 13:05:31.682 {"radius": 3, "center": [26.663269591744463, -4.987386711093712]}
2020-06-25 13:05:32.735 {"radius": 3, "center": [26.415373087217684, -4.834305900790073]}
2020-06-25 13:05:33.705 {"radius": 3, "center": [26.174272835567983, -4.703119052635131]}
2020-06-25 13:05:34.698 {"radius": 3, "center": [25.92993232063299, -4.553352678573968]}
2020-06-25 13:05:35.673 {"radius": 3, "center": [25.7013048957509, -4.397020661053443]}
2020-06-25 13:05:36.650 {"radius": 3, "center": [25.472662295627433, -4.23315430747185]}
2020-06-25 13:05:37.626 {"radius": 3, "center": [25.23988417101062, -4.073300329249794]}
2020-06-25 13:05:38.681 {"radius": 3, "center": [24.99232610115624, -3.8994903734118007]}
2020-06-25 13:05:39.666 {"radius": 3, "center": [24.755203615751235, -3.7337886469853028]}
2020-06-25 13:05:40.640 {"radius": 3, "center": [24.525626756196466, -3.5696957008915384]}
2020-06-25 13:05:41.695 {"radius": 3, "center": [24.282071874660186, -3.3942748360658186]}
2020-06-25 13:05:42.758 {"radius": 3, "center": [24.042738418398915, -3.2196175741975086]}
2020-06-25 13:05:43.823 {"radius": 3, "center": [23.791954982495056, -3.0286058449526427]}
2020-06-25 13:05:44.878 {"radius": 3, "center": [23.556926985867836, -2.844197965892319]}
2020-06-25 13:05:45.920 {"radius": 3, "center": [23.330079024943302, -2.656505586228717]}
2020-06-25 13:05:46.826 {"radius": 3, "center": [23.113586976218194, -2.503640817686505]}
2020-06-25 13:05:47.730 {"radius": 3, "center": [22.86238502538621, -2.4161798283938127]}
2020-06-25 13:05:48.639 {"radius": 3, "center": [22.611361480596837, -2.3473759486751424]}
2020-06-25 13:05:49.530 {"radius": 3, "center": [22.343423885177263, -2.312240128360611]}
2020-06-25 13:05:50.441 {"radius": 3, "center": [22.08511429062352, -2.2914426969047486]}
2020-06-25 13:05:51.343 {"radius": 3, "center": [21.82580615286596, -2.269197239506833]}
2020-06-25 13:05:52.248 {"radius": 3, "center": [21.55043002184523, -2.2584873529145497]}
2020-06-25 13:05:53.145 {"radius": 3, "center": [21.28839803509731, -2.255347306310982]}
2020-06-25 13:05:54.059 {"radius": 3, "center": [21.025189006158467, -2.223829363177825]}
2020-06-25 13:05:54.959 {"radius": 3, "center": [20.77409610626227, -2.1623574093817024]}
2020-06-25 13:05:55.860 {"radius": 3, "center": [20.51506425980005, -2.1109752096857686]}
2020-06-25 13:05:56.760 {"radius": 3, "center": [20.254853907923156, -2.083010784688813]}
2020-06-25 13:05:57.671 {"radius": 3, "center": [19.991746663902067, -2.0693324656397714]}
2020-06-25 13:05:58.580 {"radius": 3, "center": [19.73214813949007, -2.0515742709172446]}
2020-06-25 13:05:59.478 {"radius": 3, "center": [19.468418698933142, -2.0369537771390673]}
2020-06-25 13:06:00.378 {"radius": 3, "center": [19.215846938101233, -2.0210711950481444]}
2020-06-25 13:06:00.983 {"radius": 3, "center": [19.037189216967015, -1.98557319361418]}
2020-06-25 13:06:02.046 {"radius": 3, "center": [18.777118760344592, -1.9123883988366057]}
2020-06-25 13:06:02.946 {"radius": 3, "center": [18.506898358785975, -1.8711139607873526]}
2020-06-25 13:06:03.843 {"radius": 3, "center": [18.241031089746432, -1.8450133394631096]}
2020-06-25 13:06:04.749 {"radius": 3, "center": [17.971500089860463, -1.830686845444705]}
2020-06-25 13:06:05.655 {"radius": 3, "center": [17.700948829181225, -1.8276616256183686]}
2020-06-25 13:06:06.572 {"radius": 3, "center": [17.437011355257273, -1.809039663516796]}
2020-06-25 13:06:07.518 {"radius": 3, "center": [17.180600400054374, -1.7484221801746969]}
2020-06-25 13:06:08.381 {"radius": 3, "center": [16.923510470104205, -1.6720265291383658]}
2020-06-25 13:06:09.275 {"radius": 3, "center": [16.656507525309088, -1.6322388534956795]}
2020-06-25 13:06:10.201 {"radius": 3, "center": [16.39184940070165, -1.6018288396548017]}
2020-06-25 13:06:11.091 {"radius": 3, "center": [16.12999988908198, -1.5646776167610288]}
2020-06-25 13:06:11.988 {"radius": 3, "center": [15.869115346902149, -1.4931452263635987]}
