2020-06-25 16:14:23.768 {"radius": 3, "center": [27.14754572570259, -10.1439895210153]}
2020-06-25 16:14:24.496 {"radius": 3, "center": [27.1716525078762, -9.88231310716741]}
2020-06-25 16:14:25.402 {"radius": 3, "center": [27.199359677142912, -9.631133110142894]}
2020-06-25 16:14:26.306 {"radius": 3, "center": [27.235262957390056, -9.384891693350795]}
2020-06-25 16:14:27.221 {"radius": 3, "center": [27.26148648565979, -9.125789876438413]}
2020-06-25 16:14:28.131 {"radius": 3, "center": [27.292373430673006, -8.85210984401222]}
2020-06-25 16:14:29.037 {"radius": 3, "center": [27.326272214973432, -8.585063851246387]}
2020-06-25 16:14:29.949 {"radius": 3, "center": [27.35231349829321, -8.32660352555431]}
2020-06-25 16:14:30.853 {"radius": 3, "center": [27.388911225497345, -8.056171127982957]}
2020-06-25 16:14:31.766 {"radius": 3, "center": [27.420481589559415, -7.784990209422764]}
2020-06-25 16:14:32.675 {"radius": 3, "center": [27.445535557315832, -7.517609901849771]}
2020-06-25 16:14:33.573 {"radius": 3, "center": [27.452599960351428, -7.260042228037175]}
2020-06-25 16:14:34.488 {"radius": 3, "center": [27.460759425119978, -6.99128737559484]}
2020-06-25 16:14:35.391 {"radius": 3, "center": [27.477993843031346, -6.7379262734725724]}
2020-06-25 16:14:36.305 {"radius": 3, "center": [27.50517763791718, -6.482353998649795]}
2020-06-25 16:14:37.229 {"radius": 3, "center": [27.543030479848696, -6.2222778465045545]}
2020-06-25 16:14:38.131 {"radius": 3, "center": [27.559317226289792, -5.94520366637592]}
2020-06-25 16:14:38.666 {"radius": 3, "center": [27.540859561550903, -5.810627094628207]}
2020-06-25 16:14:39.195 {"radius": 3, "center": [27.483178499181168, -5.668773742491823]}
2020-06-25 16:14:39.803 {"radius": 3, "center": [27.37937184828092, -5.522664477439316]}
2020-06-25 16:14:40.708 {"radius": 3, "center": [27.193286769469175, -5.335045895954759]}
2020-06-25 16:14:41.773 {"radius": 3, "center": [26.94707778710045, -5.15028445499205]}
2020-06-25 16:14:42.758 {"radius": 3, "center": [26.70714296057047, -4.998990234028054]}
2020-06-25 16:14:43.736 {"radius": 3, "center": [26.476269984368308, -4.848969595652726]}
2020-06-25 16:14:44.721 {"radius": 3, "center": [26.233790751683397, -4.698384881412582]}
2020-06-25 16:14:45.727 {"radius": 3, "center": [25.986277813287533, -4.546130764582754]}
2020-06-25 16:14:46.695 {"radius": 3, "center": [25.729715778838855, -4.40267724793679]}
2020-06-25 16:14:47.678 {"radius": 3, "center": [25.4884892329593, -4.2529200070448185]}
2020-06-25 16:14:48.659 {"radius": 3, "center": [25.257885421337836, -4.096769019549568]}
2020-06-25 16:14:49.636 {"radius": 3, "center": [25.018676975987145, -3.9338061676655243]}
2020-06-25 16:14:50.700 {"radius": 3, "center": [24.767170212340016, -3.756373362337055]}
2020-06-25 16:14:51.766 {"radius": 3, "center": [24.5093215096594, -3.572314191045894]}
2020-06-25 16:14:52.818 {"radius": 3, "center": [24.248110507989274, -3.3801759362434303]}
2020-06-25 16:14:53.879 {"radius": 3, "center": [23.994195439521963, -3.1956663082458627]}
2020-06-25 16:14:54.947 {"radius": 3, "center": [23.754002663502956, -3.0141519200933744]}
2020-06-25 16:14:56.003 {"radius": 3, "center": [23.507159434263713, -2.830666231923389]}
2020-06-25 16:14:57.056 {"radius": 3, "center": [23.263611280685232, -2.6453225682085852]}
