time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency,Delay
112,0,0,0,2,0,0,R4,cs,0,0,18,20
113,0,0,0,2,0,0,R4,cs,0,0,18,20
114,0,0,0,2,0,0,R4,cs,0,0,18,20
115,0,0,0,2,0,0,R4,cs,0,0,18,20
116,0,0,0,2,0,0,R4,cs,0,0,18,20
117,0,0,0,2,0,0,R4,cs,0,0,18,20
118,0,0,0,2,0,0,R4,cs,0,0,18,20
119,0,0,0,2,0,0,R4,cs,0,0,18,20
120,0,0,0,2,0,0,R4,cs,0,0,18,20
121,0,0,0,2,0,0,R4,cs,0,0,18,20
122,0,0,0,2,0,0,R4,cs,0,0,18,20
123,0,0,0,2,0,0,R4,cs,0,0,18,20
124,0,0,0,2,0,0,R4,cs,0,0,18,20
125,0,0,0,2,0,0,R4,cs,0,0,18,20
126,0,0,0,2,0,0,R4,cs,0,0,18,20
127,0,0,0,2,0,0,R4,cs,0,0,18,20
128,0,0,0,2,0,0,R4,cs,0,0,18,20
129,0,0,0,2,0,0,R4,cs,0,0,18,20
130,0,0,0,2,0,0,R4,cs,0,0,18,20
131,0,0,0,2,0,0,R4,cs,0,0,18,20
132,0,0,0,2,0,0,R4,cs,0,0,18,20
133,0,0,0,2,0,0,R4,cs,0,0,18,20
134,0,0,0,2,0,0,R4,cs,0,0,18,20
135,0,0,0,2,0,0,R4,cs,0,0,18,20
136,0,0,0,2,0,0,R4,cs,0,0,18,20
137,0,0,0,2,0,0,R4,cs,0,0,18,20
138,0,0,0,2,0,0,R4,cs,0,0,18,20
139,0,0,0,2,0,0,R4,cs,0,0,18,20
140,0,0,0,2,0,0,R4,cs,0,0,18,20
141,0,0,0,2,0,0,R4,cs,0,0,18,20
142,0,0,0,2,0,0,R4,cs,0,0,18,20
143,0,0,0,2,0,0,R4,cs,0,0,18,20
144,0,0,0,2,0,0,R4,cs,0,0,18,20
145,0,0,0,2,0,0,R4,cs,0,0,18,20
146,0,0,0,2,0,0,R4,cs,0,0,18,20
147,0,0,0,2,0,0,R4,cs,0,0,18,20
148,0,0,0,2,0,0,R4,cs,0,0,18,20
149,0,0,0,2,0,0,R4,cs,0,0,18,20
150,0,0,0,2,0,0,R4,cs,0,0,18,20
151,0,0,0,0,2,0,R5,cs,0,0,27,29
