Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,SNR
55,0,0,2,0,0,0,0,4,0,R3,fe,25.44
56,0,0,2,0,0,0,0,4,0,R3,fe,25.44
57,0,0,2,0,0,0,0,4,0,R3,fe,25.44
58,0,0,2,0,0,0,0,4,0,R3,fe,25.44
59,0,0,2,0,0,0,0,4,0,R3,fe,25.44
60,0,0,2,0,0,0,0,4,0,R3,fe,25.44
61,0,0,2,0,0,0,0,4,0,R3,fe,25.44
62,0,0,2,0,0,0,0,4,0,R3,fe,25.44
63,0,0,2,0,0,0,0,4,0,R3,fe,25.44
64,0,0,2,0,0,0,0,4,0,R3,fe,25.44
65,0,0,2,0,0,0,0,4,0,R3,fe,25.44
66,0,0,2,0,0,0,0,4,0,R3,fe,25.44
67,0,0,2,0,0,0,0,4,0,R3,fe,25.44
68,0,0,2,0,0,0,0,4,0,R3,fe,25.44
69,0,0,2,0,0,0,0,4,0,R3,fe,25.44
70,0,0,2,0,0,0,0,4,0,R3,fe,25.44
71,0,0,2,0,0,0,0,4,0,R3,fe,25.44
72,0,0,2,0,0,0,0,4,0,R3,fe,25.44
73,0,0,2,0,0,0,0,4,0,R3,fe,25.44
74,0,0,2,0,0,0,0,4,0,R3,fe,25.44
75,0,0,2,0,0,0,0,4,0,R3,fe,25.44
76,0,0,2,0,0,0,0,4,0,R3,fe,25.44
77,0,0,2,0,0,0,0,4,0,R3,fe,25.44
78,0,0,2,0,0,0,0,4,0,R3,fe,25.44
79,0,0,2,0,0,0,0,4,0,R3,fe,25.44
80,0,0,2,0,0,0,0,4,0,R3,fe,25.44
81,0,0,2,0,0,0,0,4,0,R3,fe,25.44
82,0,0,2,0,0,0,0,4,0,R3,fe,25.44
83,0,0,2,0,0,0,0,4,0,R3,fe,25.44
84,0,0,2,0,0,0,0,4,0,R3,fe,25.44
85,0,0,2,0,0,0,0,4,0,R3,fe,25.44
86,0,0,2,0,0,0,0,4,0,R3,fe,25.44
87,0,0,2,0,0,0,0,4,0,R3,fe,25.44
88,0,0,2,0,0,0,0,4,0,R3,fe,25.44
89,0,0,2,0,0,0,0,4,0,R3,fe,25.44
90,0,0,2,0,0,0,0,4,0,R3,fe,25.44
91,0,0,2,0,0,0,0,4,0,R3,fe,25.44
92,0,0,2,0,0,0,0,4,0,R3,fe,25.44
93,0,0,2,0,0,0,0,4,0,R3,fe,25.44
94,0,0,2,0,0,0,0,4,0,R3,fe,25.44
95,0,0,2,0,0,0,0,4,0,R3,fe,25.44
96,0,0,2,0,0,0,0,4,0,R3,fe,25.44
97,0,0,2,0,0,0,0,4,0,R3,fe,25.44
98,0,0,2,0,0,0,0,4,0,R3,fe,25.44
99,0,0,2,0,0,0,0,4,0,R3,fe,25.44
100,0,0,2,0,0,0,0,4,0,R3,fe,25.44
101,0,2,0,0,0,0,0,8,0,R2,fe,26.02
102,0,2,0,0,0,0,0,8,0,R2,fe,26.02
103,0,2,0,0,0,0,0,8,0,R2,fe,26.02
104,0,2,0,0,0,0,0,8,0,R2,fe,26.02
105,0,2,0,0,0,0,0,8,0,R2,fe,26.02
106,0,2,0,0,0,0,0,8,0,R2,fe,26.02
107,0,2,0,0,0,0,0,8,0,R2,fe,26.02
108,0,2,0,0,0,0,0,8,0,R2,fe,26.02
109,0,2,0,0,0,0,0,8,0,R2,fe,26.02
110,0,2,0,0,0,0,0,8,0,R2,fe,26.02
111,0,2,0,0,0,0,0,8,0,R2,fe,26.02
112,0,2,0,0,0,0,0,8,0,R2,fe,26.02
113,0,2,0,0,0,0,0,8,0,R2,fe,26.02
114,0,2,0,0,0,0,0,8,0,R2,fe,26.02
115,0,2,0,0,0,0,0,8,0,R2,fe,26.02
116,0,2,0,0,0,0,0,8,0,R2,fe,26.02
117,0,2,0,0,0,0,0,8,0,R2,fe,26.02
118,0,2,0,0,0,0,0,8,0,R2,fe,26.02
119,0,2,0,0,0,0,0,8,0,R2,fe,26.02
120,0,2,0,0,0,0,0,8,0,R2,fe,26.02
121,0,2,0,0,0,0,0,8,0,R2,fe,26.02
122,0,2,0,0,0,0,0,8,0,R2,fe,26.02
123,0,2,0,0,0,0,0,8,0,R2,fe,26.02
124,0,2,0,0,0,0,0,8,0,R2,fe,26.02
125,0,2,0,0,0,0,0,8,0,R2,fe,26.02
126,0,2,0,0,0,0,0,8,0,R2,fe,26.02
127,0,2,0,0,0,0,0,8,0,R2,fe,26.02
128,0,2,0,0,0,0,0,8,0,R2,fe,26.02
129,0,2,0,0,0,0,0,8,0,R2,fe,26.02
130,0,2,0,0,0,0,0,8,0,R2,fe,26.02
131,0,2,0,0,0,0,0,8,0,R2,fe,26.02
132,0,2,0,0,0,0,0,8,0,R2,fe,26.02
133,0,2,0,0,0,0,0,8,0,R2,fe,26.02
134,0,2,0,0,0,0,0,8,0,R2,fe,26.02
135,0,2,0,0,0,0,0,8,0,R2,fe,26.02
136,0,2,0,0,0,0,0,8,0,R2,fe,26.02
137,0,2,0,0,0,0,0,8,0,R2,fe,26.02
138,0,2,0,0,0,0,0,8,0,R2,fe,26.02
139,0,2,0,0,0,0,0,8,0,R2,fe,26.02
140,0,2,0,0,0,0,0,8,0,R2,fe,26.02
141,0,2,0,0,0,0,0,8,0,R2,fe,26.02
142,0,2,0,0,0,0,0,8,0,R2,fe,26.02
143,0,2,0,0,0,0,0,8,0,R2,fe,26.02
144,0,2,0,0,0,0,0,8,0,R2,fe,26.02
145,0,2,0,0,0,0,0,8,0,R2,fe,26.02
146,0,2,0,0,0,0,0,8,0,R2,fe,26.02
147,0,2,0,0,0,0,0,8,0,R2,fe,26.02
148,0,2,0,0,0,0,0,8,0,R2,fe,26.02
149,0,2,0,0,0,0,0,8,0,R2,fe,26.02
150,0,2,0,0,0,0,0,8,0,R2,fe,26.02
151,0,0,0,2,0,0,0,8,0,R4,fe,26.02
152,0,0,0,2,0,0,0,8,0,R4,fe,26.02
153,0,0,0,2,0,0,0,8,0,R4,fe,26.02
154,0,0,0,2,0,0,0,8,0,R4,fe,26.02
155,0,0,0,2,0,0,0,8,0,R4,fe,26.02
156,0,0,0,2,0,0,0,8,0,R4,fe,26.02
157,0,0,0,2,0,0,0,8,0,R4,fe,26.02
158,0,0,0,2,0,0,0,8,0,R4,fe,26.02
159,0,0,0,2,0,0,0,8,0,R4,fe,26.02
160,0,0,0,2,0,0,0,8,0,R4,fe,26.02
161,0,0,0,2,0,0,0,8,0,R4,fe,26.02
162,0,0,0,2,0,0,0,8,0,R4,fe,26.02
163,0,0,0,2,0,0,0,8,0,R4,fe,26.02
164,0,0,0,2,0,0,0,8,0,R4,fe,26.02
165,0,0,0,2,0,0,0,8,0,R4,fe,26.02
166,0,0,0,2,0,0,0,8,0,R4,fe,26.02
167,0,0,0,2,0,0,0,8,0,R4,fe,26.02
168,0,0,0,2,0,0,0,8,0,R4,fe,26.02
169,0,0,0,2,0,0,0,8,0,R4,fe,26.02
170,0,0,0,2,0,0,0,8,0,R4,fe,26.02
171,0,0,0,2,0,0,0,8,0,R4,fe,26.02
172,0,0,0,2,0,0,0,8,0,R4,fe,26.02
173,0,0,0,2,0,0,0,8,0,R4,fe,26.02
174,0,0,0,2,0,0,0,8,0,R4,fe,26.02
175,0,0,0,2,0,0,0,8,0,R4,fe,26.02
176,0,0,0,0,2,0,0,12,0,R5,fe,26.53
177,0,0,0,0,2,0,0,12,0,R5,fe,26.53
178,0,0,0,0,2,0,0,12,0,R5,fe,26.53
179,0,0,0,0,2,0,0,12,0,R5,fe,26.53
180,0,0,0,0,2,0,0,12,0,R5,fe,26.53
181,0,0,0,0,2,0,0,12,0,R5,fe,26.53
182,0,0,0,0,2,0,0,12,0,R5,fe,26.53
183,0,0,0,0,2,0,0,12,0,R5,fe,26.53
184,0,0,0,0,2,0,0,12,0,R5,fe,26.53
185,0,0,0,0,2,0,0,12,0,R5,fe,26.53
186,0,0,0,0,2,0,0,12,0,R5,fe,26.53
187,0,0,0,0,2,0,0,12,0,R5,fe,26.53
188,0,0,0,0,2,0,0,12,0,R5,fe,26.53
189,0,0,0,0,2,0,0,12,0,R5,fe,26.53
190,0,0,0,0,2,0,0,12,0,R5,fe,26.53
191,0,0,0,0,2,0,0,12,0,R5,fe,26.53
192,0,0,0,0,2,0,0,12,0,R5,fe,26.53
193,0,0,0,0,2,0,0,12,0,R5,fe,26.53
194,0,0,0,0,2,0,0,12,0,R5,fe,26.53
195,0,0,0,0,2,0,0,12,0,R5,fe,26.53
196,0,0,0,0,2,0,0,12,0,R5,fe,26.53
197,0,0,0,0,2,0,0,12,0,R5,fe,26.53
198,0,0,0,0,2,0,0,12,0,R5,fe,26.53
199,0,0,0,0,2,0,0,12,0,R5,fe,26.53
200,0,0,0,0,2,0,0,12,0,R5,fe,26.53
201,0,0,0,0,2,0,0,12,0,R5,fe,26.53
202,0,0,0,0,2,0,0,12,0,R5,fe,26.53
203,0,0,0,0,2,0,0,12,0,R5,fe,26.53
204,0,0,0,0,2,0,0,12,0,R5,fe,26.53
205,0,0,0,0,2,0,0,12,0,R5,fe,26.53
206,0,0,0,0,2,0,0,12,0,R5,fe,26.53
207,0,0,0,0,2,0,0,12,0,R5,fe,26.53
208,0,0,0,0,2,0,0,12,0,R5,fe,26.53
209,0,0,0,0,2,0,0,12,0,R5,fe,26.53
210,0,0,0,0,2,0,0,12,0,R5,fe,26.53
211,0,0,0,0,2,0,0,12,0,R5,fe,26.53
212,0,0,0,0,2,0,0,12,0,R5,fe,26.53
213,0,0,0,0,2,0,0,12,0,R5,fe,26.53
214,0,0,0,0,2,0,0,12,0,R5,fe,26.53
215,0,0,0,0,2,0,0,12,0,R5,fe,26.53
