2020-06-25 13:44:11.052 {"radius": 3, "center": [27.159444066585774, -10.106025055606835]}
2020-06-25 13:44:11.892 {"radius": 3, "center": [27.169226551908235, -9.870287526580267]}
2020-06-25 13:44:12.786 {"radius": 3, "center": [27.19282509829715, -9.63275868030689]}
2020-06-25 13:44:13.723 {"radius": 3, "center": [27.22612492009247, -9.38283265183312]}
2020-06-25 13:44:14.601 {"radius": 3, "center": [27.260345349244325, -9.137736708092794]}
2020-06-25 13:44:15.510 {"radius": 3, "center": [27.292060861004305, -8.954959098008475]}
2020-06-25 13:44:16.411 {"radius": 3, "center": [27.330512305855777, -8.635597154272537]}
2020-06-25 13:44:17.308 {"radius": 3, "center": [27.354598931412287, -8.444719206940173]}
2020-06-25 13:44:18.219 {"radius": 3, "center": [27.38981068580895, -8.124122085411669]}
2020-06-25 13:44:19.129 {"radius": 3, "center": [27.40800365360716, -7.934677404772128]}
2020-06-25 13:44:20.027 {"radius": 3, "center": [27.44004084495317, -7.628619762274734]}
2020-06-25 13:44:20.927 {"radius": 3, "center": [27.45658869487401, -7.413305806675536]}
2020-06-25 13:44:21.834 {"radius": 3, "center": [27.477317964325632, -7.111212283292892]}
2020-06-25 13:44:22.743 {"radius": 3, "center": [27.49392127187957, -6.87957716062721]}
2020-06-25 13:44:23.636 {"radius": 3, "center": [27.532315986051362, -6.614111623903189]}
2020-06-25 13:44:24.541 {"radius": 3, "center": [27.559509725865297, -6.358560093685322]}
2020-06-25 13:44:25.458 {"radius": 3, "center": [27.58577693039497, -6.092509046931427]}
2020-06-25 13:44:26.216 {"radius": 3, "center": [27.568347553521548, -5.87760208672015]}
2020-06-25 13:44:26.741 {"radius": 3, "center": [27.52199107999175, -5.740584715343201]}
2020-06-25 13:44:27.267 {"radius": 3, "center": [27.434971300412542, -5.622787012999442]}
2020-06-25 13:44:28.323 {"radius": 3, "center": [27.222300727216936, -5.402757005625058]}
2020-06-25 13:44:29.450 {"radius": 3, "center": [26.972266446312112, -5.212850241421591]}
2020-06-25 13:44:30.507 {"radius": 3, "center": [26.717786655261026, -5.042616537284045]}
2020-06-25 13:44:31.570 {"radius": 3, "center": [26.46693106593235, -4.878397438114184]}
2020-06-25 13:44:32.612 {"radius": 3, "center": [26.20139110094075, -4.715844602239665]}
2020-06-25 13:44:33.672 {"radius": 3, "center": [25.940150067253537, -4.553495850951855]}
2020-06-25 13:44:34.726 {"radius": 3, "center": [25.69624477105804, -4.381927935298404]}
2020-06-25 13:44:35.772 {"radius": 3, "center": [25.448187043381484, -4.199805317467993]}
2020-06-25 13:44:36.826 {"radius": 3, "center": [25.20563940044058, -4.021504511833163]}
2020-06-25 13:44:37.881 {"radius": 3, "center": [24.9548371121325, -3.8466703040220764]}
2020-06-25 13:44:39.012 {"radius": 3, "center": [24.700902589430342, -3.670897636519978]}
2020-06-25 13:44:40.064 {"radius": 3, "center": [24.462540393908352, -3.5013183236823116]}
2020-06-25 13:44:41.116 {"radius": 3, "center": [24.21050877905699, -3.319450108677333]}
2020-06-25 13:44:42.246 {"radius": 3, "center": [23.949548428386336, -3.1267347576140523]}
2020-06-25 13:44:43.387 {"radius": 3, "center": [23.690572590603566, -2.9218252357295182]}
2020-06-25 13:44:44.502 {"radius": 3, "center": [23.432124508659797, -2.7143734475178203]}
2020-06-25 13:44:45.556 {"radius": 3, "center": [23.18200725842311, -2.5415884458632765]}
2020-06-25 13:44:46.153 {"radius": 3, "center": [23.01521799607851, -2.473922959805116]}
2020-06-25 13:44:47.067 {"radius": 3, "center": [22.769610661714463, -2.411087646859307]}
2020-06-25 13:44:48.037 {"radius": 3, "center": [22.51542916624905, -2.325148712510526]}
2020-06-25 13:44:48.942 {"radius": 3, "center": [22.25452534408192, -2.2876545336623537]}
2020-06-25 13:44:49.846 {"radius": 3, "center": [21.99934979794179, -2.2817877115340095]}
2020-06-25 13:44:50.740 {"radius": 3, "center": [21.733870409340177, -2.2756344120670335]}
2020-06-25 13:44:51.652 {"radius": 3, "center": [21.468177282420523, -2.2723830411009662]}
2020-06-25 13:44:52.555 {"radius": 3, "center": [21.20616193530048, -2.2710230522129877]}
2020-06-25 13:44:53.464 {"radius": 3, "center": [20.95149863034381, -2.254494565901043]}
2020-06-25 13:44:54.430 {"radius": 3, "center": [20.68398666222745, -2.2067615302928343]}
2020-06-25 13:44:55.345 {"radius": 3, "center": [20.420734618835223, -2.1377609645464974]}
2020-06-25 13:44:56.242 {"radius": 3, "center": [20.148628799914942, -2.0821222427973516]}
2020-06-25 13:44:57.144 {"radius": 3, "center": [19.87848709457345, -2.057014281733968]}
2020-06-25 13:44:58.041 {"radius": 3, "center": [19.603150650264414, -2.0322015561663727]}
2020-06-25 13:44:58.955 {"radius": 3, "center": [19.328518028428224, -2.0096347649437627]}
2020-06-25 13:44:59.862 {"radius": 3, "center": [19.068077902510595, -1.9896908743320212]}
2020-06-25 13:45:00.766 {"radius": 3, "center": [18.798408349678365, -1.9681228455895863]}
2020-06-25 13:45:01.662 {"radius": 3, "center": [18.528472427039652, -1.9504544558512924]}
2020-06-25 13:45:02.574 {"radius": 3, "center": [18.263300506418563, -1.943958672688227]}
2020-06-25 13:45:03.478 {"radius": 3, "center": [17.983833312943055, -1.9323228776605759]}
2020-06-25 13:45:04.377 {"radius": 3, "center": [17.71763267020418, -1.9151127584566068]}
2020-06-25 13:45:05.282 {"radius": 3, "center": [17.456829226948074, -1.8887635091484]}
2020-06-25 13:45:06.189 {"radius": 3, "center": [17.188806028267102, -1.867573740173123]}
2020-06-25 13:45:07.134 {"radius": 3, "center": [16.92313865566815, -1.830227608769085]}
2020-06-25 13:45:07.998 {"radius": 3, "center": [16.666057293905656, -1.7661159385133076]}
2020-06-25 13:45:08.895 {"radius": 3, "center": [16.405964770365287, -1.7011244970150532]}
2020-06-25 13:45:09.799 {"radius": 3, "center": [16.13291001513187, -1.6638267246174274]}
2020-06-25 13:45:10.700 {"radius": 3, "center": [15.863884471694327, -1.6434064358032292]}
2020-06-25 13:45:11.996 {"radius": 3, "center": [15.588560969889627, -1.6261606586045434]}
2020-06-25 13:45:12.506 {"radius": 3, "center": [15.335170370892948, -1.6091036380874868]}
2020-06-25 13:45:13.519 {"radius": 3, "center": [15.083568303619337, -1.5701109674579563]}
2020-06-25 13:45:15.421 {"radius": 3, "center": [14.82651295154176, -1.499758348670174]}
2020-06-25 13:45:18.987 {"radius": 3, "center": [14.555329489050616, -1.4761401229287252]}
2020-06-25 13:45:20.038 {"radius": 3, "center": [14.299168093941885, -1.464631250627975]}
2020-06-25 13:45:21.010 {"radius": 3, "center": [14.058378192332713, -1.4508578040696771]}
2020-06-25 13:45:21.994 {"radius": 3, "center": [13.794430278611006, -1.4341427789099643]}
2020-06-25 13:45:22.974 {"radius": 3, "center": [13.547372743722525, -1.4051247867776793]}
2020-06-25 13:45:23.942 {"radius": 3, "center": [13.290958021246503, -1.3434772179848584]}
2020-06-25 13:45:24.924 {"radius": 3, "center": [13.03824988350515, -1.2839324045865277]}
2020-06-25 13:45:25.898 {"radius": 3, "center": [12.766649164934062, -1.253785253910672]}
2020-06-25 13:45:26.810 {"radius": 3, "center": [12.518954749535041, -1.2304693060754215]}
2020-06-25 13:45:27.703 {"radius": 3, "center": [12.262726735080914, -1.21113470510191]}
2020-06-25 13:45:28.614 {"radius": 3, "center": [12.008917223360765, -1.200398094641237]}
2020-06-25 13:45:29.510 {"radius": 3, "center": [11.750304191953516, -1.1939870082797386]}
2020-06-25 13:45:30.412 {"radius": 3, "center": [11.496920875376862, -1.1946353626266317]}
2020-06-25 13:45:31.310 {"radius": 3, "center": [11.234917790016931, -1.1822136914266856]}
2020-06-25 13:45:32.221 {"radius": 3, "center": [10.991917571139059, -1.1394118688473993]}
2020-06-25 13:45:33.199 {"radius": 3, "center": [10.736697731925755, -1.06666840992034]}
2020-06-25 13:45:34.099 {"radius": 3, "center": [10.482772942398162, -1.0218120243932247]}
2020-06-25 13:45:34.996 {"radius": 3, "center": [10.220580224563921, -0.9965104375620004]}
2020-06-25 13:45:35.907 {"radius": 3, "center": [9.961320126918073, -0.9843424723148441]}
2020-06-25 13:45:36.805 {"radius": 3, "center": [9.705480440926932, -0.9720493841753176]}
2020-06-25 13:45:37.706 {"radius": 3, "center": [9.432864277591799, -0.9603436258354124]}
2020-06-25 13:45:38.603 {"radius": 3, "center": [9.160076685831962, -0.9417526525390194]}
2020-06-25 13:45:39.510 {"radius": 3, "center": [8.89266355366582, -0.917522883699123]}
2020-06-25 13:45:40.417 {"radius": 3, "center": [8.634778825726334, -0.8964563321655106]}
2020-06-25 13:45:41.317 {"radius": 3, "center": [8.372732753931833, -0.881557562970531]}
2020-06-25 13:45:42.214 {"radius": 3, "center": [8.10989968917892, -0.8683908621095202]}
2020-06-25 13:45:43.125 {"radius": 3, "center": [7.84191878219213, -0.853027598777567]}
2020-06-25 13:45:44.020 {"radius": 3, "center": [7.57760106195629, -0.8370466339813926]}
2020-06-25 13:45:44.924 {"radius": 3, "center": [7.30657440139278, -0.8266247204428728]}
2020-06-25 13:45:45.822 {"radius": 3, "center": [7.039417693790474, -0.8237248327061125]}
2020-06-25 13:45:46.732 {"radius": 3, "center": [6.759896092843552, -0.8130432747352134]}
2020-06-25 13:45:47.633 {"radius": 3, "center": [6.4912543774107805, -0.7953429137925998]}
2020-06-25 13:45:48.537 {"radius": 3, "center": [6.2365392520580025, -0.7626569606411554]}
2020-06-25 13:45:49.513 {"radius": 3, "center": [5.968226639510128, -0.6590291470588041]}
2020-06-25 13:45:50.257 {"radius": 3, "center": [5.760388519166312, -0.5852630882942109]}
2020-06-25 13:45:51.165 {"radius": 3, "center": [5.486898839036357, -0.5463803301097849]}
2020-06-25 13:45:52.068 {"radius": 3, "center": [5.2062170313692695, -0.5281296633264315]}
2020-06-25 13:45:52.963 {"radius": 3, "center": [4.935159933851978, -0.502111915926784]}
2020-06-25 13:45:53.876 {"radius": 3, "center": [4.672220550480466, -0.4593627177735209]}
2020-06-25 13:45:54.883 {"radius": 3, "center": [4.398926978635255, -0.3943917186550809]}
2020-06-25 13:45:55.681 {"radius": 3, "center": [4.1401962761254705, -0.33319342794252343]}
2020-06-25 13:45:56.574 {"radius": 3, "center": [3.8784233022078727, -0.27522091423792666]}
2020-06-25 13:45:57.487 {"radius": 3, "center": [3.626895198970862, -0.21256006379980658]}
2020-06-25 13:45:58.389 {"radius": 3, "center": [3.3773175999629585, -0.14144718757381092]}
2020-06-25 13:45:59.291 {"radius": 3, "center": [3.127275371773726, -0.07088519650539589]}
2020-06-25 13:46:00.183 {"radius": 3, "center": [2.868371151810878, -0.039326343857279074]}
2020-06-25 13:46:01.090 {"radius": 3, "center": [2.6018841120415437, -0.02671672416859684]}
2020-06-25 13:46:01.996 {"radius": 3, "center": [2.3301474429892006, -0.013377386223536016]}
