time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
121,0,0,0,0,0,0,R3,cs,0,0,0
122,0,0,0,0,0,0,R3,cs,0,0,0
123,0,0,0,0,0,0,R3,cs,0,0,0
124,0,0,0,0,0,0,R3,cs,0,0,0
125,0,0,0,0,0,0,R3,cs,0,0,0
126,0,0,0,0,0,0,R3,cs,0,0,0
127,0,0,0,0,0,0,R3,cs,0,0,0
128,0,0,0,0,0,0,R3,cs,0,0,0
129,0,0,0,0,0,0,R3,cs,0,0,0
130,0,0,0,0,0,0,R3,cs,0,0,0
131,0,0,0,0,0,0,R3,cs,0,0,0
132,0,0,0,0,0,0,R3,cs,0,0,0
133,0,0,0,0,0,0,R3,cs,0,0,0
134,0,0,0,0,0,0,R3,cs,0,0,0
135,0,0,0,0,0,0,R3,cs,0,0,0
136,0,0,0,0,0,0,R3,cs,0,0,0
137,0,0,0,0,0,0,R3,cs,0,0,0
138,0,0,0,0,0,0,R3,cs,0,0,0
139,0,0,0,0,0,0,R3,cs,0,0,0
140,0,0,0,0,0,0,R3,cs,0,0,0
141,0,0,0,0,0,0,R3,cs,0,0,0
142,0,0,0,0,0,0,R3,cs,0,0,0
143,0,0,0,0,0,0,R3,cs,0,0,0
144,0,0,0,0,0,0,R3,cs,0,0,0
145,0,0,0,0,0,0,R3,cs,0,0,0
146,0,0,0,0,0,0,R3,cs,0,0,0
147,0,0,0,0,0,0,R3,cs,0,0,0
148,0,0,0,0,0,0,R3,cs,0,0,0
149,0,0,0,0,0,0,R3,cs,0,0,0
150,0,0,0,0,0,0,R3,cs,0,0,0
151,0,0,0,0,2,0,R5,cs,0,0,27
152,0,0,0,0,2,0,R5,cs,0,0,27
153,0,0,0,0,2,0,R5,cs,0,0,27
154,0,0,0,0,2,0,R5,cs,0,0,27
155,0,0,0,0,2,0,R5,cs,0,0,27
156,0,0,0,0,2,0,R5,cs,0,0,27
157,0,0,0,0,2,0,R5,cs,0,0,27
158,0,0,0,0,2,0,R5,cs,0,0,27
159,0,0,0,0,2,0,R5,cs,0,0,27
160,0,0,0,0,2,0,R5,cs,0,0,27
161,0,0,0,0,2,0,R5,cs,0,0,27
162,0,0,0,0,2,0,R5,cs,0,0,27
163,0,0,0,0,2,0,R5,cs,0,0,27
164,0,0,0,0,2,0,R5,cs,0,0,27
165,0,0,0,0,2,0,R5,cs,0,0,27
166,0,0,0,0,2,0,R5,cs,0,0,27
167,0,0,0,0,2,0,R5,cs,0,0,27
168,0,0,0,0,2,0,R5,cs,0,0,27
169,0,0,0,0,2,0,R5,cs,0,0,27
170,0,0,0,0,2,0,R5,cs,0,0,27
171,0,0,0,0,2,0,R5,cs,0,0,27
172,0,0,0,0,2,0,R5,cs,0,0,27
173,0,0,0,0,2,0,R5,cs,0,0,27
174,0,0,0,0,2,0,R5,cs,0,0,27
175,0,0,0,0,2,0,R5,cs,0,0,27
176,0,0,0,0,0,2,R6,cs,0,0,27
177,0,0,0,0,0,2,R6,cs,0,0,27
178,0,0,0,0,0,2,R6,cs,0,0,27
179,0,0,0,0,0,2,R6,cs,0,0,27
180,0,0,0,0,0,2,R6,cs,0,0,27
181,0,0,0,0,0,2,R6,cs,0,0,27
182,0,0,0,0,0,2,R6,cs,0,0,27
183,0,0,0,0,0,2,R6,cs,0,0,27
184,0,0,0,0,0,2,R6,cs,0,0,27
185,0,0,0,0,0,2,R6,cs,0,0,27
186,0,0,0,0,0,2,R6,cs,0,0,27
187,0,0,0,0,0,2,R6,cs,0,0,27
188,0,0,0,0,0,2,R6,cs,0,0,27
189,0,0,0,0,0,2,R6,cs,0,0,27
190,0,0,0,0,0,2,R6,cs,0,0,27
191,0,0,0,0,0,2,R6,cs,0,0,27
192,0,0,0,0,0,2,R6,cs,0,0,27
193,0,0,0,0,0,2,R6,cs,0,0,27
194,0,0,0,0,0,2,R6,cs,0,0,27
195,0,0,0,0,0,2,R6,cs,0,0,27
196,0,0,0,0,0,2,R6,cs,0,0,27
197,0,0,0,0,0,2,R6,cs,0,0,27
198,0,0,0,0,0,2,R6,cs,0,0,27
199,0,0,0,0,0,2,R6,cs,0,0,27
200,0,0,0,0,0,2,R6,cs,0,0,27
201,0,0,0,0,0,2,R6,cs,0,0,27
202,0,0,0,0,0,2,R6,cs,0,0,27
203,0,0,0,0,0,2,R6,cs,0,0,27
204,0,0,0,0,0,2,R6,cs,0,0,27
205,0,0,0,0,0,2,R6,cs,0,0,27
206,0,0,0,0,0,2,R6,cs,0,0,27
207,0,0,0,0,0,2,R6,cs,0,0,27
208,0,0,0,0,0,2,R6,cs,0,0,27
209,0,0,0,0,0,2,R6,cs,0,0,27
210,0,0,0,0,0,2,R6,cs,0,0,27
211,0,0,0,0,0,2,R6,cs,0,0,27
212,0,0,0,0,0,2,R6,cs,0,0,27
213,0,0,0,0,0,2,R6,cs,0,0,27
214,0,0,0,0,0,2,R6,cs,0,0,27
215,0,0,0,0,0,2,R6,cs,0,0,27
216,0,0,0,0,0,2,R6,cs,0,0,27
217,0,0,0,0,0,2,R6,cs,0,0,27
218,0,0,0,0,0,2,R6,cs,0,0,27
219,0,0,0,0,0,2,R6,cs,0,0,27
220,0,0,0,0,0,2,R6,cs,0,0,27
221,0,0,0,0,0,2,R6,cs,0,0,27
222,0,0,0,0,0,2,R6,cs,0,0,27
223,0,0,0,0,0,2,R6,cs,0,0,27
224,0,0,0,0,0,2,R6,cs,0,0,27
225,0,0,0,0,0,2,R6,cs,0,0,27
226,0,0,0,0,2,0,R5,cs,0,0,27
227,0,0,0,0,2,0,R5,cs,0,0,27
228,0,0,0,0,2,0,R5,cs,0,0,27
229,0,0,0,0,2,0,R5,cs,0,0,27
230,0,0,0,0,2,0,R5,cs,0,0,27
231,0,0,0,0,2,0,R5,cs,0,0,27
232,0,0,0,0,2,0,R5,cs,0,0,27
233,0,0,0,0,2,0,R5,cs,0,0,27
234,0,0,0,0,2,0,R5,cs,0,0,27
235,0,0,0,0,2,0,R5,cs,0,0,27
236,0,0,0,0,2,0,R5,cs,0,0,27
237,0,0,0,0,2,0,R5,cs,0,0,27
238,0,0,0,0,2,0,R5,cs,0,0,27
239,0,0,0,0,2,0,R5,cs,0,0,27
240,0,0,0,0,2,0,R5,cs,0,0,27
241,0,0,0,0,2,0,R5,cs,0,0,27
242,0,0,0,0,2,0,R5,cs,0,0,27
243,0,0,0,0,2,0,R5,cs,0,0,27
244,0,0,0,0,2,0,R5,cs,0,0,27
245,0,0,0,0,2,0,R5,cs,0,0,27
246,0,0,0,0,2,0,R5,cs,0,0,27
247,0,0,0,0,2,0,R5,cs,0,0,27
248,0,0,0,0,2,0,R5,cs,0,0,27
249,0,0,0,0,2,0,R5,cs,0,0,27
250,0,0,0,0,2,0,R5,cs,0,0,27
251,0,0,0,0,0,0,R3,cs,0,0,0
252,0,0,0,0,0,0,R3,cs,0,0,0
253,0,0,0,0,0,0,R3,cs,0,0,0
254,0,0,0,0,0,0,R3,cs,0,0,0
255,0,0,0,0,0,0,R3,cs,0,0,0
256,0,0,0,0,0,0,R3,cs,0,0,0
257,0,0,0,0,0,0,R3,cs,0,0,0
258,0,0,0,0,0,0,R3,cs,0,0,0
259,0,0,0,0,0,0,R3,cs,0,0,0
260,0,0,0,0,0,0,R3,cs,0,0,0
261,0,0,0,0,0,0,R3,cs,0,0,0
